steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss
10140	212	76.81090950965881	200.0	200.0	0.0	200.0	200.0	1.3061374942325756	0.003792113916534084
20094	278	152.53721451759338	165.7	165.0	8.528620857874603	191.0	152.0	1.4684967184871656	0.001365710517883994
30100	344	226.05406069755554	121.95	122.0	4.229227309611489	131.0	114.0	2.6698154416590567	0.003400913072097952
40126	425	306.0727369785309	200.0	200.0	0.0	200.0	200.0	2.327427013907128	0.0022785751350254055
50108	481	386.4888439178467	200.0	200.0	0.0	200.0	200.0	2.0948351622216497	0.0037422961970506275
60196	538	466.98833417892456	199.91	200.0	0.6681045100608409	200.0	194.0	1.3662010189457263	0.003362909710426289
70180	604	545.613733291626	200.0	200.0	0.0	200.0	200.0	1.716652300494174	0.006491737867064486
80111	673	625.050451040268	200.0	200.0	0.0	200.0	200.0	2.489478067415061	0.006995490959923446
90015	736	705.1362483501434	200.0	200.0	0.0	200.0	200.0	1.6384032837300797	0.005777748917360217
100000	799	784.933079957962	200.0	200.0	0.0	200.0	200.0	1.4516016445161322	0.0020221968447398397
